Species	Covered_bases	Breadth	TotalBases	Average_coverage	Average_coverage_on_covered_area
Ogataea naganishii	273	0.0022747857910046802	549	4.5745692280643574e-5	2.010989010989011
Ogataea parapolymorpha	457	0.005149534248853665	457	5.149534248853665e-5	1
Ogataea philodendri	314	0.0035511901802579614	457	5.168451950248052e-5	1.4554140127388535
Ogataea populi-albae	601	0.0051003863818495495	636	5.3974138749689074e-5	1.0582362728785357
Paenarthrobacter nicotinovorans	878	0.018396889207563428	9134	0.001913863166536268	10.403189066059225
Paenibacillus barengoltzii	574	0.011641691452584951	574	1.1641691452584952e-4	1
Paenibacillus contaminans	1052	0.01028083789610666	2116	2.0678947707378036e-4	2.011406844106464
Paenibacillus oryzae	683	0.011564573326506341	969	1.6407132581822319e-4	1.418740849194729
Paenibacillus senegalimassiliensis	6800	0.13439521363305046	6800	0.0013439521363305046	1
Paenibacillus xylanexedens	850	0.01197480107390016	850	1.197480107390016e-4	1
Pantoea agglomerans	1458	0.031341089070601284	1458	3.134108907060128e-4	1
Pantoea allii	971	0.019378607294818266	971	1.9378607294818267e-4	1
Pantoea ananatis	1540	0.030920627552206665	1746	0.00035056763445553794	1.1337662337662338
Pantoea anthophila	51039	1.1093797241668024	53184	0.011560032769076044	1.0420266854758127
Pantoea brenneri	824	0.016703238786379967	824	1.6703238786379968e-4	1
Pantoea coffeiphila	23334	0.39704768315683364	24392	0.004150504451684875	1.0453415616696666
Pantoea cypripedii	10405	0.15876224952604015	12531	0.001912013213657673	1.2043248438250842
Pantoea deleyi	1070	0.02319105440838103	1070	2.319105440838103e-4	1
Pantoea dispersa	326792	6.858772979970549	349907	0.07343915019653342	1.0707330656809224
Pantoea endophytica	3465	0.06774859776044448	3915	7.654711695011259e-4	1.12987012987013
Pantoea eucalypti	476	0.009992516109258508	587	1.2322703689358704e-4	1.2331932773109244
Pantoea eucrina	3510	0.0901762830723445	3510	9.01762830723445e-4	1
Pantoea latae	856	0.01725662066581123	856	1.7256620665811228e-4	1
Pantoea rodasii	88891	1.545539077409268	103590	0.01801109145232094	1.1653598227042108
Pantoea rwandensis	43589	0.7547353413667135	49245	0.008526679181812798	1.1297575076280713
Pantoea septica	897	0.02081822832003164	1395	3.2376174477641176e-4	1.5551839464882944
Pantoea sesami	4409	0.08976870865198103	4675	9.518455725743056e-4	1.060331140848265
Pantoea stewartii subsp. stewartii	2517	0.04809663812716239	2517	4.809663812716239e-4	1
Pantoea vagans	774	0.015833602340918324	774	1.5833602340918325e-4	1
Pantoea wallisii	2787	0.059893210856337524	3086	6.631878317282297e-4	1.1072838177251525
Paracoccus aminophilus	848	0.017401589700885553	848	1.7401589700885553e-4	1
Paracoccus aminovorans	1420	0.03598394811824224	1420	3.598394811824224e-4	1
Paracoccus contaminans	441	0.014537691520075531	441	1.453769152007553e-4	1
Paracoccus denitrificans	483	0.009305978252911441	483	9.305978252911441e-5	1
Paracoccus halophilus	1181	0.02946085635051085	1181	2.946085635051085e-4	1
Paracoccus siganidrum	967	0.01972991038091173	967	1.972991038091173e-4	1
Paracoccus versutus	926	0.016834074202272127	926	1.6834074202272127e-4	1
Paralactobacillus selangorensis	12131	0.5560082903948205	190697	0.08740343990884598	15.719808754430797
Paucilactobacillus hokkaidonensis	4596	0.2017572547668224	25691	0.01127794959141522	5.589860748476936
Paucilactobacillus nenjiangensis	24883	1.2475451942461409	616110	0.30889565953743114	24.76027810151509
Paucilactobacillus oligofermentans	10168	0.55495246500301	76652	0.04183538193097042	7.538552321007081
Paucilactobacillus suebicus	40689	1.531425672278143	422995	0.15920406061719214	10.39580722062474
Paucilactobacillus vaccinostercus	2303554	90.01067129936257	39756883	15.53488100387582	17.258932501690865
Paucilactobacillus wasatchensis	29095	1.5278957155377988	163559	0.08589142304095096	5.621550094517959
Pectobacterium aquaticum	23789	0.5471155517980827	25285	0.0058152157413991845	1.0628862079112196
Pectobacterium atrosepticum	6647	0.1302160112604428	6773	0.001326843755479132	1.0189559199638936
Pectobacterium betavasculorum	13828	0.29514133082103206	14729	0.0031437204669243425	1.0651576511426093
Pectobacterium carotovorum	78190	1.6409502610955646	83372	0.017497033529614965	1.0662744596495715
Pectobacterium fontis	8274	0.1992983848978361	9245	0.0022268716079048762	1.1173555716702925
Pectobacterium parmentieri	5742	0.11413598640863426	5742	0.0011413598640863426	1
Pectobacterium peruviense	7940	0.1659047030013289	8247	0.001723194062533954	1.0386649874055416
Pectobacterium polaris	41992	0.869971641808361	43811	0.009076568774829992	1.0433177748142504
Pectobacterium polonicum	14474	0.2992890179912525	14761	0.003052235176571009	1.0198286582838192
Pectobacterium punjabense	14676	0.3101089036712068	14975	0.0031642687602046345	1.0203733987462524
Pectobacterium wasabiae	5982	0.118614506423267	5982	0.00118614506423267	1
Pectobacterium zantedeschiae	25541	0.5051622834577301	27234	0.005386472584349799	1.0662855800477664
Pediococcus acidilactici	1094	0.056309697157801486	2449	0.0012605342627006935	2.2385740402193783
Pediococcus argentinicus	7227	0.40947080417074366	56972	0.032279466798416506	7.883215718832157
Pediococcus cellicola	5608	0.2751177394034537	22418	0.010997841444270016	3.9975035663338088
Pediococcus claussenii	57887	2.925369151801123	431697	0.21816177841744944	7.457581149480885
Pediococcus damnosus	41158	1.8778730092826004	307032	0.14008627867876364	7.459837698624812
Pediococcus ethanolidurans	11503	0.5087783393029166	99934	0.044200864609143416	8.687646700860645
Pediococcus inopinatus	20113	0.9513759072435689	179183	0.08475632137802636	8.908815194153036
Pediococcus lolii	679	0.033169229506643125	2850	0.0013922283371713242	4.197349042709868
Pediococcus parvulus	44515	1.99016074186075	198617	0.08879697990927925	4.4617993934628775
Pediococcus pentosaceus	18230	1.0479986846840423	187645	0.10787257991636706	10.293198025233131
Pediococcus stilesii	338	0.01839002411922394	527	2.86732032864823e-4	1.5591715976331362
Phytomonas serpens	46708	0.18179141136386257	49292	0.0019184855375840354	1.0553224287060032
Phytophthora agathidicida	4158	0.011135377318698623	13335	3.5711942410977907e-4	3.207070707070707
Phytophthora cactorum	4263	0.006286212910624961	7170	1.0572870412662672e-4	1.6819141449683321
Phytophthora cambivora	1059	4.5920466714289524e-4	21014	9.112112252446461e-5	19.84324834749764
Phytophthora cinnamomi	1736	0.0032332898329201203	4840	9.014471653993884e-5	2.7880184331797233
Phytophthora colocasiae	5437	0.009607258556843455	5672	1.0022506995478404e-4	1.043222365274968
Phytophthora cryptogea	241	3.775105587823571e-4	460	7.2055957277960275e-6	1.9087136929460582
Phytophthora infestans	10086	0.004413164136955019	10989	4.808274905909052e-5	1.0895300416418798
Phytophthora kernoviae	643	0.0017572679495560795	698	1.9075785828773614e-5	1.0855365474339036
Phytophthora lateralis	2557	0.004243503481614544	4203	6.975144752923712e-5	1.6437231130230738
Phytophthora litchii	6735	0.017630457136942553	14441	3.7802736676256484e-4	2.144172234595397
Phytophthora megakarya	7663	0.0075494178012729994	24794	2.4426499408164264e-4	3.235547435730132
Phytophthora multivora	3079	0.007685542832461256	4245	1.059601472029816e-4	1.3786943812926276
Phytophthora nicotianae	3605	0.005048031494563473	3740	5.237070121960441e-5	1.0374479889042996
Phytophthora palmivora	3627576	3.365943531776082	4136760	0.03838403541238013	1.1403648055891868
Phytophthora parasitica	882	0.0010705290253432817	1127	1.367898199049749e-5	1.2777777777777777
Phytophthora pinifolia	209	2.2088983026709183e-4	556	5.8763036185886635e-6	2.660287081339713
Phytophthora plurivora	3130	0.007739631669197955	4135	1.0224721070969183e-4	1.3210862619808306
Phytophthora pluvialis	1916	0.003573222842420071	2809	5.2386132381826614e-5	1.4660751565762005
Phytophthora ramorum	1386	0.002079444970031912	5063	7.596125456905896e-5	3.6529581529581527
Phytophthora rubi	483	6.45173406983373e-4	655	8.749245995323174e-6	1.3561076604554865
Phytophthora sojae	2808	0.0033996128291363674	5246	6.351270976370863e-5	1.8682336182336183
Pichia exigua	2366	0.02100536879825586	4605	4.0883230480121826e-4	1.9463229078613693
Pichia fermentans	3848	0.0364095904829418	5668	5.363034273838726e-4	1.472972972972973
Pichia heedii	751	0.007005368948343007	751	7.005368948343007e-5	1
Pichia kluyveri	319257	2.574659870089987	337074	0.027183457247631607	1.055807703511591
Pichia kudriavzevii	25698	0.25253490584087945	26136	0.002568391430872918	1.0170441279477003
Pichia manshurica	311437	2.510447670719986	325420	0.026231625690129875	1.044898326146219
Pichia nakasei	727	0.006981176845885096	727	6.981176845885095e-5	1
Pichia norvegensis	1322	0.012872727286890637	1482	1.4430697306484056e-4	1.1210287443267777
Pichia occidentalis	254648	2.1177727060241436	276183	0.02296867908909028	1.0845677170054349
Pichia terricola	4918	0.0401063740429068	5671	4.6247101910802056e-4	1.1531110207401383
